Team,AirportCity
Arizona D'Backs,"Phoenix, AZ"
Atlanta Braves,"Atlanta, GA (Metropolitan Area)"
Baltimore Orioles,"Washington, DC (Metropolitan Area)"
Boston Red Sox,"Boston, MA (Metropolitan Area)"
Chicago Cubs,"Chicago, IL"
Chicago White Sox,"Chicago, IL"
Cincinnati Reds,"Cincinnati, OH"
Cleveland Guardians,"Cleveland, OH (Metropolitan Area)"
Colorado Rockies,"Denver, CO"
Detroit Tigers,"Detroit, MI"
Houston Astros,"Houston, TX"
Kansas City Royals,"Kansas City, MO"
Los Angeles Angels,"Los Angeles, CA (Metropolitan Area)"
Los Angeles Dodgers,"Los Angeles, CA (Metropolitan Area)"
Miami Marlins,"Miami, FL (Metropolitan Area)"
Milwaukee Brewers,"Milwaukee, WI"
Minnesota Twins,"Minneapolis/St. Paul, MN"
New York Mets,"New York City, NY (Metropolitan Area)"
New York Yankees,"New York City, NY (Metropolitan Area)"
Oakland Athletics,"San Francisco, CA (Metropolitan Area)"
Philadelphia Phillies,"Philadelphia, PA"
Pittsburgh Pirates,"Pittsburgh, PA"
San Diego Padres,"San Diego, CA"
San Francisco Giants,"San Francisco, CA (Metropolitan Area)"
Seattle Mariners,"Seattle, WA"
St. Louis Cardinals,"St. Louis, MO"
Tampa Bay Rays,"Tampa, FL (Metropolitan Area)"
Texas Rangers,"Dallas/Fort Worth, TX"
Toronto Blue Jays,"Buffalo, NY"
Washington Nationals,"Washington, DC (Metropolitan Area)"
